"区分","編制方式別学級数_計","編制方式別学級数_単式学級_計","編制方式別学級数_単式学級_１学年","編制方式別学級数_単式学級_２学年","編制方式別学級数_単式学級_３学年","編制方式別学級数_複式学級_２個学年","編制方式別学級数_特別支援学級_計","編制方式別学級数_特別支援学級_知的障害","編制方式別学級数_特別支援学級_肢体不自由","編制方式別学級数_特別支援学級_病弱・身体虚弱","編制方式別学級数_特別支援学級_弱視","編制方式別学級数_特別支援学級_難聴","編制方式別学級数_特別支援学級_言語障害","編制方式別学級数_特別支援学級_情緒障害"
"県計  ","1126.0","958.0","308.0","322.0","328.0","3.0","165.0","84.0","8.0","3.0","0.0","0.0","0.0","70.0"
"和歌山市","375.0","333.0","104.0","114.0","115.0","0.0","42.0","19.0","3.0","1.0","0.0","0.0","0.0","19.0"
"海南市","58.0","44.0","14.0","14.0","16.0","0.0","14.0","6.0","2.0","0.0","0.0","0.0","0.0","6.0"
"橋本市","78.0","64.0","21.0","22.0","21.0","0.0","14.0","7.0","0.0","1.0","0.0","0.0","0.0","6.0"
"有田市","35.0","30.0","10.0","10.0","10.0","0.0","5.0","2.0","1.0","0.0","0.0","0.0","0.0","2.0"
"御坊市","31.0","26.0","8.0","9.0","9.0","0.0","5.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0"
"田辺市","99.0","82.0","27.0","26.0","29.0","1.0","16.0","10.0","1.0","1.0","0.0","0.0","0.0","4.0"
"新宮市","40.0","37.0","12.0","13.0","12.0","0.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"紀の川市","68.0","58.0","18.0","20.0","20.0","0.0","10.0","5.0","0.0","0.0","0.0","0.0","0.0","5.0"
"岩出市","55.0","51.0","17.0","17.0","17.0","0.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0"
"紀美野町","12.0","9.0","3.0","3.0","3.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0"
"かつらぎ町","16.0","12.0","4.0","4.0","4.0","0.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0"
"九度山町","8.0","6.0","2.0","2.0","2.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"高野町","7.0","5.0","1.0","2.0","2.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0"
"湯浅町","13.0","11.0","3.0","4.0","4.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0"
"広川町","10.0","9.0","3.0","3.0","3.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"有田川町","36.0","30.0","10.0","10.0","10.0","0.0","6.0","2.0","1.0","0.0","0.0","0.0","0.0","3.0"
"美浜町","6.0","6.0","2.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高町","10.0","9.0","3.0","3.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"由良町","7.0","5.0","2.0","1.0","2.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0"
"印南町","16.0","14.0","5.0","4.0","5.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","19.0","15.0","5.0","5.0","5.0","0.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0"
"日高川町","26.0","21.0","7.0","7.0","7.0","0.0","5.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0"
"白浜町","24.0","19.0","6.0","6.0","7.0","1.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0"
"上富田町","14.0","12.0","4.0","4.0","4.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0"
"すさみ町","7.0","6.0","2.0","2.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"那智勝浦町","18.0","14.0","5.0","5.0","4.0","0.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","3.0"
"太地町","3.0","3.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","9.0","6.0","2.0","2.0","2.0","0.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0"
"北山村","3.0","3.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"串本町","23.0","18.0","6.0","6.0","6.0","0.0","5.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0"
